mean,std,sem,max,min,width,depth,solver,action
-0.4,10.017070856428717,0.7083138730206883,1.724941619062065,-2.524941619062065,1,3,POSS,left
0.4,10.017070856428717,0.7083138730206883,2.524941619062065,-1.724941619062065,1,3,POSS,right
7.5,0.0,0.0,7.5,7.5,1,3,POSS,listen
8.5,0.0,0.0,8.5,8.5,1,3,POSS,wait
0.0,10.025094142341711,0.708881205008336,2.126643615025008,-2.126643615025008,1,3,POWSS,left
0.0,10.025094142341711,0.708881205008336,2.126643615025008,-2.126643615025008,1,3,POWSS,right
7.5,0.0,0.0,7.5,7.5,1,3,POWSS,listen
8.5,0.0,0.0,8.5,8.5,1,3,POWSS,wait
0.05,4.53877764519951,0.32094004512184837,1.012820135365545,-0.9128201353655451,1,3,POMCPOW,left
0.05,4.755055495345883,0.33623319856774314,1.0586995957032295,-0.9586995957032294,1,3,POMCPOW,right
-0.7951250000000001,4.378395765778136,0.3095993336700187,0.13367300101005597,-1.7239230010100561,1,3,POMCPOW,listen
-0.331325,4.2697532520677015,0.3019171478530386,0.5744264435591158,-1.2370764435591157,1,3,POMCPOW,wait
-0.54,4.340807881642153,0.3069414688937179,0.3808244066811536,-1.4608244066811538,5,3,POSS,left
0.54,4.340807881642153,0.3069414688937179,1.4608244066811538,-0.3808244066811536,5,3,POSS,right
7.5,0.0,0.0,7.5,7.5,5,3,POSS,listen
8.5,0.0,0.0,8.5,8.5,5,3,POSS,wait
0.0,4.318942733083907,0.3053953694119992,0.9161861082359976,-0.9161861082359976,5,3,POWSS,left
0.0,4.318942733083907,0.3053953694119992,0.9161861082359976,-0.9161861082359976,5,3,POWSS,right
4.987217245001997,0.8040670633952842,0.056856127305555906,5.157785626918664,4.816648863085329,5,3,POWSS,listen
4.068601932525385,1.106589611459492,0.07824770182535937,4.3033450380014635,3.833858827049307,5,3,POWSS,wait
-0.9763385366472338,3.070484358410096,0.21711603113590042,-0.3249904432395325,-1.627686630054935,5,3,POMCPOW,left
-0.6661002252940078,3.0339861977711133,0.21453522144703438,-0.022494560952904696,-1.309705889635111,5,3,POMCPOW,right
-3.2684640824439577,2.177631289366041,0.15398178516347322,-2.806518726953538,-3.7304094379343775,5,3,POMCPOW,listen
-2.4717569876833125,2.294954611237975,0.1622777968121709,-1.9849235972467998,-2.9585903781198253,5,3,POMCPOW,wait
-0.23333333333333336,3.5984121512893097,0.25444616336807435,0.5300051567708897,-0.9966718234375564,9,3,POSS,left
0.23333333333333336,3.5984121512893097,0.25444616336807435,0.9966718234375564,-0.5300051567708897,9,3,POSS,right
7.5,0.0,0.0,7.5,7.5,9,3,POSS,listen
8.5,0.0,0.0,8.5,8.5,9,3,POSS,wait
0.4111111111111109,3.186433647440394,0.2253148839906087,1.087055763082937,-0.26483354086071514,9,3,POWSS,left
-0.4111111111111109,3.186433647440394,0.2253148839906087,0.26483354086071514,-1.087055763082937,9,3,POWSS,right
4.810862070967125,0.42454353623397345,0.030019761337995936,4.900921354981112,4.720802786953137,9,3,POWSS,listen
3.674800454173499,0.6703019067137168,0.047397502367954175,3.8169929612773617,3.5326079470696365,9,3,POWSS,wait
-0.5410848730476316,1.4917775467897487,0.10548460193568635,-0.22463106724057258,-0.8575386788546907,9,3,POMCPOW,left
-0.4455618091807583,1.3775852206536139,0.09740998511865367,-0.15333185382479725,-0.7377917645367194,9,3,POMCPOW,right
-1.042619029249623,2.0094238266921565,0.14208772141318457,-0.6163558650100692,-1.4688821934891765,9,3,POMCPOW,listen
-1.6959149517521692,1.0638999205920439,0.07522908483544637,-1.4702276972458301,-1.9216022062585083,9,3,POMCPOW,wait
0.19999999999999993,2.66384535518827,0.1883623114685913,0.7650869344057739,-0.365086934405774,13,3,POSS,left
-0.19999999999999993,2.66384535518827,0.1883623114685913,0.365086934405774,-0.7650869344057739,13,3,POSS,right
7.5,0.0,0.0,7.5,7.5,13,3,POSS,listen
8.5,0.0,0.0,8.5,8.5,13,3,POSS,wait
0.10769230769230777,2.862701194831754,0.2024235427376365,0.7149629359052172,-0.4995783205206017,13,3,POWSS,left
-0.10769230769230777,2.862701194831754,0.2024235427376365,0.4995783205206017,-0.7149629359052172,13,3,POWSS,right
4.740777409871188,0.32270154049894784,0.02281844475861513,4.8092327441470335,4.672322075595343,13,3,POWSS,listen
3.528244633070209,0.33959785969752887,0.02401319494685604,3.6002842179107772,3.456205048229641,13,3,POWSS,wait
-0.37978721124932346,1.1829435601141598,0.08364674131176787,-0.12884698731401983,-0.630727435184627,13,3,POMCPOW,left
-0.4968868107343018,1.2257450700051742,0.08667326510066381,-0.23686701543231037,-0.7569066060362932,13,3,POMCPOW,right
1.6847287137689377,1.3736639670388642,0.09713271061647949,1.9761268456183763,1.3933305819194992,13,3,POMCPOW,listen
-1.707663989388285,0.7997342415358257,0.05654975053370626,-1.5380147377871662,-1.8773132409894038,13,3,POMCPOW,wait
-0.17647058823529405,2.3698769753956,0.16757560798800936,0.3262562357287341,-0.6791974121993222,17,3,POSS,left
0.17647058823529405,2.3698769753956,0.16757560798800936,0.6791974121993222,-0.3262562357287341,17,3,POSS,right
7.5,0.0,0.0,7.5,7.5,17,3,POSS,listen
8.5,0.0,0.0,8.5,8.5,17,3,POSS,wait
-0.07058823529411766,2.319118417912854,0.16398643596807969,0.42137107261012136,-0.5625475431983566,17,3,POWSS,left
0.07058823529411766,2.319118417912854,0.16398643596807969,0.5625475431983566,-0.42137107261012136,17,3,POWSS,right
4.7098772002076,0.23214149060871508,0.01641488222041757,4.759121846868853,4.660632553546348,17,3,POWSS,listen
